source_id,target_id,target_name,target_name_cn,relation_type,same_series,group
8,199228,コードギアス 復活のルルーシュ,Code Geass 复活的鲁路修,不同世界观,0,universe
8,199229,コードギアス 反逆のルルーシュ I 興道,Code Geass 反叛的鲁路修 I 兴道,不同演绎,0,alt
8,199230,コードギアス 反逆のルルーシュ II 叛道,Code Geass 反叛的鲁路修 II 叛道,不同演绎,0,alt
8,199231,コードギアス 反逆のルルーシュ III 皇道,Code Geass 反叛的鲁路修 III 皇道,不同演绎,0,alt
8,35866,コードギアス 反逆のルルーシュ ナナリーinワンダーランド,Code Geass 反叛的鲁路修 娜娜莉梦游仙境,番外篇,1,extra
8,99952,コードギアス 反逆のルルーシュR2 SPECIAL EDITION ZERO REQUIEM,Code Geass 反叛的鲁路修R2 零之镇魂曲,总集篇,1,skip
8,793,コードギアス 反逆のルルーシュ,Code Geass 反叛的鲁路修,前传,1,main
51,363880,かぎなど シーズン2,键等 第二季,角色出演,1,extra
51,333598,かぎなど,键等,角色出演,1,extra
51,37873,CLANNAD もうひとつの世界 智代編,CLANNAD 另一个世界 智代篇,番外篇,1,extra
51,37874,CLANNAD 〜AFTER STORY〜もうひとつの世界 杏編,CLANNAD ～AFTER STORY～另一个世界 杏篇,番外篇,1,extra
51,876,CLANNAD 〜AFTER STORY〜,,续集,1,main
51,3686,劇場版 CLANNAD,剧场版 CLANNAD,不同演绎,0,alt
234,2127,AIR IN SUMMER,AIR 夏季篇,番外篇,1,extra
234,3410,Air 劇場版,AIR 剧场版,不同演绎,0,alt
234,333598,かぎなど,键等,角色出演,1,extra
234,363880,かぎなど シーズン2,键等 第二季,角色出演,1,extra
237,238,イノセンス,攻壳机动队2 无罪,续集,1,main
237,324,攻殻機動隊 STAND ALONE COMPLEX,攻壳机动队 STAND ALONE COMPLEX,不同演绎,0,alt
237,10291,GHOST IN THE SHELL / 攻殻機動隊2.0,攻壳机动队2.0,不同演绎,0,alt
237,61498,攻殻機動隊ARISE border:1 Ghost Pain,攻壳机动队ARISE border:1 Ghost Pain,不同演绎,0,alt
237,496276,攻殻機動隊 THE GHOST IN THE SHELL,攻壳机动队 THE GHOST IN THE SHELL,不同演绎,0,alt
247,11834,銀魂',银魂',续集,1,main
247,162688,劇場版 銀魂 〜白夜叉降誕〜 予告篇,银魂剧场版 白夜叉降诞 预告,番外篇,1,extra
247,218963,よりぬき銀魂さんオンシアター2D,银魂总集篇 ON THEATER 2D,总集篇,1,skip
247,229512,アニメ銀魂大反省会,,衍生,1,extra
247,425208,3年Z組銀八先生,3年Z班银八老师,不同世界观,0,universe
247,578766,新劇場版 銀魂 -吉原大炎上-,新剧场版 银魂 -吉原大炎上-,不同演绎,0,alt
247,3153,銀魂 〜何事も最初が肝心なので多少背伸びするくらいが丁度良い〜,银魂 〜无论什么事开始虽然重要但伸个懒腰的话也不错〜,番外篇,1,extra
247,4475,劇場版 銀魂 新訳紅桜篇,银魂剧场版 新译红樱篇,总集篇,1,skip
253,239948,cowboy bebop Extra Session,,其他,0,other
253,860,カウボーイビバップ 天国の扉,星际牛仔 天国之扉,番外篇,1,extra
265,116370,日本アニメ（ーター）見本市,日本动画（人）博览会,其他,0,other
265,235701,エヴァンゲリオン・ザ・リアル 4-D,新世纪福音战士 THE REAL 4D,衍生,1,extra
265,2682,ぷちえゔぁ,EVA爆笑学园,角色出演,1,extra
265,6048,新世紀エヴァンゲリオン劇場版 シト新生,新世纪福音战士剧场版 死与新生,总集篇,1,skip
265,6049,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,新世纪福音战士剧场版 Air/真心为你,续集,1,main
265,318795,花王 アタックZERO エヴァンゲリオン限定コラボレーションムービー 動画広告,花王 Attack ZERO 新世纪福音战士限定合作影片 视频广告,其他,0,other
265,318769,綾波レイ、はじめての口紅,绫波丽，第一次的口红出镜,其他,0,other
265,772,ヱヴァンゲリヲン新劇場版:序,福音战士新剧场版：序,不同演绎,0,alt
265,39923,REVIVAL OF EVANGELION 新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,总集篇,1,skip
282,1512,狼と香辛料Ⅱ,狼与香辛料 第二季,续集,1,main
282,372010,狼と香辛料 MERCHANT MEETS THE WISE WOLF,狼与香辛料 行商邂逅贤狼,不同演绎,0,alt
288,289,ひぐらしのなく頃に,寒蝉鸣泣之时,前传,1,main
288,1326,ひぐらしのなく頃に礼,寒蝉鸣泣之时 礼,续集,1,main
288,57269,ひぐらしのなく頃に拡〜アウトブレイク〜,寒蝉鸣泣之时 扩,不同世界观,0,universe
288,297969,ひぐらしのなく頃に 業,寒蝉鸣泣之时 业,续集,1,main
289,288,ひぐらしのなく頃に解,寒蝉鸣泣之时 解,续集,1,main
289,37870,ひぐらしのなく頃に外伝 猫殺し編,寒蝉鸣泣之时外传 猫杀篇,番外篇,1,extra
289,57269,ひぐらしのなく頃に拡〜アウトブレイク〜,寒蝉鸣泣之时 扩,不同世界观,0,universe
289,297969,ひぐらしのなく頃に 業,寒蝉鸣泣之时 业,其他,0,other
289,236947,ラストピリオド -終わりなき螺旋の物語-,最终休止符～无止境的螺旋物语～,角色出演,1,extra
315,1935,鋼の錬金術師 シャンバラを征く者,钢之炼金术师 香巴拉的征服者,续集,1,main
315,1428,鋼の錬金術師 FULLMETAL ALCHEMIST,钢之炼金术师 FULLMETAL ALCHEMIST,不同演绎,0,alt
315,18511,鋼の錬金術師 PREMIUM COLLECTION,钢之炼金术师 PREMIUM COLLECTION,衍生,1,extra
321,9979,機動警察パトレイバー the Movie,机动警察剧场版1 东京毁灭战,前传,1,main
324,496276,攻殻機動隊 THE GHOST IN THE SHELL,攻壳机动队 THE GHOST IN THE SHELL,不同演绎,0,alt
324,237,GHOST IN THE SHELL / 攻殻機動隊,攻壳机动队,不同演绎,0,alt
324,61498,攻殻機動隊ARISE border:1 Ghost Pain,攻壳机动队ARISE border:1 Ghost Pain,不同演绎,0,alt
324,48745,攻殻機動隊 STAND ALONE COMPLEX the Laughing Man,攻壳机动队 STAND ALONE COMPLEX 笑面男,总集篇,1,skip
324,19446,タチコマな日々,攻壳机动队 塔奇克马的日常,衍生,1,extra
324,326,攻殻機動隊 S.A.C. 2nd GIG,攻壳机动队 S.A.C. 2nd GIG,续集,1,main
326,48746,攻殻機動隊 S.A.C. 2nd GIG Individual Eleven,攻壳机动队 S.A.C. 2nd GIG 个别的十一人,总集篇,1,skip
326,320,攻殻機動隊 STAND ALONE COMPLEX Solid State Society,攻壳机动队 S.A.C. Solid State Society,续集,1,main
326,324,攻殻機動隊 STAND ALONE COMPLEX,攻壳机动队 STAND ALONE COMPLEX,前传,1,main
340,88473,蟲師 特別篇 日蝕む翳,虫师 特別篇 蚀日之翳,续集,1,main
340,92705,蟲師 続章,虫师 续章,续集,1,main
490,491,灼眼のシャナII,灼眼的夏娜II,续集,1,main
490,5109,灼眼のシャナたん,灼眼的夏娜炭,番外篇,1,extra
490,1868,灼眼のシャナ特別編 恋と温泉の校外学習！,灼眼的夏娜 恋爱和温泉校外学习,番外篇,1,extra
490,1862,劇場版 灼眼のシャナ,灼眼的夏娜 剧场版,不同演绎,0,alt
493,2216,HELLSING,皇家国教骑士团,不同演绎,0,alt
493,27924,HELLSING 外伝:THE DAWN,皇家国教骑士团外传：THE DAWN,番外篇,1,extra
493,285380,HELLSING I OVA DIGEST FOR FLEAKS,,总集篇,1,skip
515,32330,ゲキ・ガンガー3 熱血大決戦!!,激钢人3 热血大决战!!,续集,1,main
515,516,機動戦艦ナデシコ -The prince of darkness-,机动战舰抚子号 暗黑王子,续集,1,main
531,1269,ARIA The NATURAL,水星领航员 第二季,续集,1,main
696,10840,ベルセルク 黄金時代篇I 覇王の卵,剑风传奇 黄金时代篇I 霸王之卵,不同演绎,0,alt
696,45240,ベルセルク 黄金時代篇II ドルドレイ攻略,剑风传奇 黄金时代篇II 多尔多雷攻略,不同演绎,0,alt
696,45241,ベルセルク  黄金時代篇III 降臨,剑风传奇 黄金时代篇III 降临,不同演绎,0,alt
696,162040,ベルセルク,剑风传奇,续集,1,main
696,388981,ベルセルク 黄金時代篇 MEMORIAL EDITION,剑风传奇 黄金时代篇 MEMORIAL EDITION,不同演绎,0,alt
698,253047,連盟空軍航空魔法音楽隊 ルミナスウィッチーズ,联盟空军航空魔法音乐队 光辉魔女,相同世界观,0,universe
698,253048,ストライクウィッチーズ 501部隊発進しますっ！,强袭魔女 501部队起飞！,衍生,1,extra
698,310950,ワールドウィッチーズ 発進しますっ！,世界魔女 起飞！,衍生,1,extra
698,35861,ストライクウィッチーズ OVA,强袭魔女 OVA,不同演绎,0,alt
698,85338,ブレイブウィッチーズ,无畏魔女,相同世界观,0,universe
698,5651,ストライクウィッチーズ2,强袭魔女2,续集,1,main
698,204641,ブレイブウィッチーズ ペテルブルグ大戦略,无畏魔女 彼得堡大战略,角色出演,1,extra
750,1269,ARIA The NATURAL,水星领航员 第二季,前传,1,main
750,1270,ARIA The ORIGINATION,水星领航员 第三季,续集,1,main
770,11577,THE IDOLM@STER,偶像大师,角色出演,1,extra
770,84728,グレパラ 〜グレンラガン パラレルワークス〜,天元突破 Parallel Works,衍生,1,extra
770,3995,劇場版 天元突破グレンラガン 紅蓮篇,天元突破红莲螺岩 红莲篇,总集篇,1,skip
770,3996,劇場版 天元突破グレンラガン 螺巌篇,天元突破红莲螺岩 螺岩篇,总集篇,1,skip
770,161818,天元突破グレンラガン キラメキ☆ヨーコbox ～pieces of sweet stars～,,衍生,1,extra
770,84758,グレンラガン パラレルワークス2,天元突破 Parallel Works 2,衍生,1,extra
772,309905,EVANGELION 超·现实,,其他,0,other
772,265,新世紀エヴァンゲリオン,新世纪福音战士,不同演绎,0,alt
